#,제품 번호,제품 분류,제품명,음료 종류,제품 카테고리,제품 가격,수수료 여부,매장 판매여부,비고
1,78,1,연한 HOT 아메리카노,HOT,COFFEE,1500,O,X,
2,102,2,연한 ICE 아메리카노,ICE,COFFEE,2000,O,X,
3,1,3,HOT 아메리카노,HOT,COFFEE,1500,O,O,
4,2,4,ICE 아메리카노,ICE,COFFEE,1500,O,O,
5,3,5,HOT 카페라떼,HOT,LATTE,2000,O,O,
6,4,6,ICE 카페라떼,ICE,LATTE,2000,O,O,
7,7,7,HOT 바닐라라떼,HOT,LATTE,2700,O,O,
8,8,8,ICE 바닐라라떼,ICE,LATTE,2700,O,O,
9,9,10,HOT 초코라떼,HOT,LATTE,2500,O,O,
10,10,11,ICE 초코라떼,ICE,LATTE,2500,O,O,
11,108,12,HOT 토피넛,HOT,LATTE,2500,O,O,
12,107,13,ICE 토피넛,ICE,LATTE,2500,O,O,
13,62,14,HOT 다방커피,HOT,COFFEE,2300,O,X,
14,63,14,ICE 다방커피,ICE,COFFEE,2300,O,X,
15,15,15,HOT 레몬티,HOT,TEA,2000,O,O,
16,16,16,ICE 레몬티,ICE,TEA,2000,O,O,
17,105,17,HOT 청귤티,HOT,TEA,2000,O,O,
18,103,18,ICE 청귤티,ICE,TEA,2000,O,O,
19,117,19,ICE 메론 주스,ICE,JUICE,2000,O,O,
20,17,20,ICE 청포도 주스,ICE,JUICE,2000,O,O,
21,20,21,ICE 복숭아티,ICE,TEA,2000,O,O,
22,46,23,ICE 패션후르츠,ICE,JUICE,2000,O,O,
23,106,25,ICE 얼그레이레몬 하이볼,ICE,JUICE,2000,O,O,
24,35,35,ICE 얼음컵,ICE,JUICE,700,O,X,
25,56,38,아이스티 + 샷추가,ICE,COFFEE_JUICE,2500,O,O,
26,62,14,HOT 녹차라떼,HOT,LATTE,2500,O,O,
27,63,14,ICE 녹차라떼,ICE,LATTE,2500,O,O,