Product Name,Quantity Ordered,Total Sales,Order Time,Year,Month,Day,Order HourMinute,Machine
ICE 초코라떼,1,2700,2025-07-31 14:42:28,2025,7,31,14:42,E
ICE 레몬티,1,0,2025-07-31 13:29:14,2025,7,31,13:29,E
ICE 아메리카노,1,1500,2025-07-31 12:13:05,2025,7,31,12:13,E
ICE 얼그레이레몬 하이볼,1,2000,2025-07-31 08:41:19,2025,7,31,08:41,E
ICE 아메리카노,2,3000,2025-07-30 22:04:16,2025,7,30,22:04,E
HOT 녹차라떼,1,2500,2025-07-30 19:08:17,2025,7,30,19:08,E
아이스티+샷추가,1,2500,2025-07-30 15:59:26,2025,7,30,15:59,E
ICE 초코라떼,1,2700,2025-07-30 13:55:47,2025,7,30,13:55,E
ICE 아메리카노,1,1500,2025-07-30 13:54:09,2025,7,30,13:54,E
HOT 청귤티,1,2000,2025-07-30 13:52:40,2025,7,30,13:52,E
ICE 아메리카노,1,1750,2025-07-30 13:18:26,2025,7,30,13:18,E
ICE 카페라떼,1,1750,2025-07-30 13:18:26,2025,7,30,13:18,E
ICE 아메리카노,1,0,2025-07-30 12:49:26,2025,7,30,12:49,E
ICE 청귤티,1,2000,2025-07-30 11:46:49,2025,7,30,11:46,E
ICE 아메리카노,1,1500,2025-07-30 11:44:34,2025,7,30,11:44,E
ICE 아메리카노,1,1500,2025-07-30 08:56:52,2025,7,30,08:56,E
ICE 아메리카노,1,1500,2025-07-30 08:46:19,2025,7,30,08:46,E
ICE 아메리카노,1,1500,2025-07-30 06:14:37,2025,7,30,06:14,E
ICE 아메리카노,1,1500,2025-07-30 06:03:00,2025,7,30,06:03,E
ICE 녹차라떼,1,2500,2025-07-30 05:46:55,2025,7,30,05:46,E
ICE 바닐라라떼,1,2700,2025-07-30 05:29:32,2025,7,30,05:29,E
ICE 복숭아티,1,0,2025-07-29 19:24:47,2025,7,29,19:24,E
ICE 복숭아티,1,2000,2025-07-29 19:10:37,2025,7,29,19:10,E
HOT 녹차라떼,1,2500,2025-07-29 19:09:29,2025,7,29,19:09,E
ICE 아메리카노,1,0,2025-07-29 14:02:21,2025,7,29,14:02,E
ICE 아메리카노,1,0,2025-07-29 14:01:02,2025,7,29,14:01,E
HOT 초코라떼,1,2500,2025-07-29 13:44:48,2025,7,29,13:44,E
ICE 청포도주스,1,2000,2025-07-29 13:40:00,2025,7,29,13:40,E
HOT 아메리카노,1,1500,2025-07-29 11:35:20,2025,7,29,11:35,E
ICE 아메리카노,1,1500,2025-07-29 11:24:27,2025,7,29,11:24,E
HOT 녹차라떼,1,2500,2025-07-29 08:56:10,2025,7,29,08:56,E
ICE 바닐라라떼,1,2700,2025-07-29 08:54:36,2025,7,29,08:54,E
ICE 복숭아티,1,2000,2025-07-29 08:52:06,2025,7,29,08:52,E
ICE 녹차라떼,1,2500,2025-07-29 08:50:38,2025,7,29,08:50,E
ICE 녹차라떼,1,2500,2025-07-29 08:47:02,2025,7,29,08:47,E
ICE 아메리카노,1,1500,2025-07-29 08:45:16,2025,7,29,08:45,E
아이스티+샷추가,1,2500,2025-07-29 06:58:46,2025,7,29,06:58,E
아이스티+샷추가,1,2500,2025-07-29 06:57:02,2025,7,29,06:57,E
HOT 아메리카노,1,1500,2025-07-29 06:54:19,2025,7,29,06:54,E
ICE 아메리카노,1,1500,2025-07-29 06:47:30,2025,7,29,06:47,E
아이스티+샷추가,1,2500,2025-07-29 06:46:04,2025,7,29,06:46,E
ICE 아메리카노,1,1500,2025-07-29 06:44:27,2025,7,29,06:44,E
ICE 아메리카노,1,1500,2025-07-29 06:13:46,2025,7,29,06:13,E
HOT 카페라떼,1,2000,2025-07-29 06:12:24,2025,7,29,06:12,E
ICE 아메리카노,1,1500,2025-07-29 05:56:39,2025,7,29,05:56,E
ICE 초코라떼,1,2700,2025-07-28 20:13:12,2025,7,28,20:13,E
아이스티+샷추가,1,2500,2025-07-28 19:12:17,2025,7,28,19:12,E
아이스티+샷추가,1,2500,2025-07-28 16:42:17,2025,7,28,16:42,E
ICE 복숭아티,1,2000,2025-07-28 14:03:53,2025,7,28,14:03,E
ICE 아메리카노,1,1500,2025-07-28 14:00:48,2025,7,28,14:00,E
ICE 청포도주스,1,2000,2025-07-28 13:47:23,2025,7,28,13:47,E
ICE 초코라떼,1,2700,2025-07-28 11:55:10,2025,7,28,11:55,E
ICE 아메리카노,1,1500,2025-07-28 11:43:47,2025,7,28,11:43,E
ICE 아메리카노,1,1500,2025-07-28 11:41:05,2025,7,28,11:41,E
아이스티+샷추가,1,2500,2025-07-28 09:59:16,2025,7,28,09:59,E
ICE 얼그레이레몬 하이볼,1,2000,2025-07-28 08:34:54,2025,7,28,08:34,E
ICE 아메리카노,1,1500,2025-07-28 06:46:55,2025,7,28,06:46,E
아이스티+샷추가,1,2500,2025-07-28 06:45:25,2025,7,28,06:45,E
ICE 아메리카노,1,1500,2025-07-28 06:13:08,2025,7,28,06:13,E
ICE 아메리카노,1,1500,2025-07-28 06:11:03,2025,7,28,06:11,E
아이스티+샷추가,1,2500,2025-07-28 05:56:08,2025,7,28,05:56,E
ICE 아메리카노,1,1500,2025-07-28 05:54:40,2025,7,28,05:54,E
ICE 아메리카노,1,1500,2025-07-28 05:48:36,2025,7,28,05:48,E
ICE 녹차라떼,1,2500,2025-07-27 17:14:29,2025,7,27,17:14,E
ICE 녹차라떼,1,2500,2025-07-27 16:40:48,2025,7,27,16:40,E
ICE 아메리카노,1,1500,2025-07-27 16:08:40,2025,7,27,16:08,E
아이스티+샷추가,1,0,2025-07-27 15:57:01,2025,7,27,15:57,E
ICE 토피넛,1,2500,2025-07-27 13:48:03,2025,7,27,13:48,E
ICE 아메리카노,1,1500,2025-07-27 11:43:50,2025,7,27,11:43,E
ICE 녹차라떼,1,2500,2025-07-27 08:53:28,2025,7,27,08:53,E
아이스티+샷추가,1,2500,2025-07-27 08:51:03,2025,7,27,08:51,E
ICE 아메리카노,1,1500,2025-07-27 08:49:35,2025,7,27,08:49,E
ICE 초코라떼,1,2700,2025-07-27 08:48:22,2025,7,27,08:48,E
ICE 아메리카노,1,1500,2025-07-27 07:00:20,2025,7,27,07:00,E
HOT 아메리카노,1,1500,2025-07-27 06:57:36,2025,7,27,06:57,E
ICE 아메리카노,1,1500,2025-07-27 06:55:55,2025,7,27,06:55,E
ICE 아메리카노,1,1500,2025-07-27 06:54:20,2025,7,27,06:54,E
아이스티+샷추가,1,2500,2025-07-27 06:52:53,2025,7,27,06:52,E
ICE 아메리카노,1,1500,2025-07-27 06:27:06,2025,7,27,06:27,E
ICE 아메리카노,1,1500,2025-07-27 06:25:37,2025,7,27,06:25,E
ICE 아메리카노,1,1500,2025-07-27 06:17:56,2025,7,27,06:17,E
ICE 아메리카노,1,1500,2025-07-27 06:16:12,2025,7,27,06:16,E
HOT 녹차라떼,1,2500,2025-07-26 11:47:59,2025,7,26,11:47,E
ICE 아메리카노,1,1500,2025-07-26 08:47:31,2025,7,26,08:47,E
HOT 토피넛,1,2500,2025-07-26 08:20:59,2025,7,26,08:20,E
HOT 녹차라떼,1,2500,2025-07-26 08:18:46,2025,7,26,08:18,E
아이스티+샷추가,1,2500,2025-07-26 06:04:31,2025,7,26,06:04,E
아이스티+샷추가,1,2500,2025-07-26 06:03:01,2025,7,26,06:03,E
ICE 아메리카노,1,1500,2025-07-26 05:56:53,2025,7,26,05:56,E
ICE 아메리카노,1,1500,2025-07-26 05:55:20,2025,7,26,05:55,E
아이스티+샷추가,1,2500,2025-07-26 05:53:46,2025,7,26,05:53,E
ICE 아메리카노,1,1500,2025-07-26 05:52:18,2025,7,26,05:52,E
ICE 아메리카노,1,1500,2025-07-26 05:50:39,2025,7,26,05:50,E
ICE 아메리카노,1,1500,2025-07-26 05:49:06,2025,7,26,05:49,E
ICE 아메리카노,1,1500,2025-07-26 05:47:37,2025,7,26,05:47,E
ICE 레몬티,1,0,2025-07-25 17:24:44,2025,7,25,17:24,E
ICE 복숭아티,1,2000,2025-07-25 16:39:20,2025,7,25,16:39,E
ICE 청포도주스,1,2000,2025-07-25 14:40:20,2025,7,25,14:40,E
ICE 복숭아티,1,2000,2025-07-25 14:01:41,2025,7,25,14:01,E
아이스티+샷추가,1,2500,2025-07-25 11:47:27,2025,7,25,11:47,E
ICE 초코라떼,1,2700,2025-07-25 11:46:15,2025,7,25,11:46,E
ICE 아메리카노,1,1500,2025-07-25 11:19:35,2025,7,25,11:19,E
ICE 아메리카노,1,1500,2025-07-25 09:17:59,2025,7,25,09:17,E
ICE 아메리카노,1,0,2025-07-25 08:48:26,2025,7,25,08:48,E
HOT 녹차라떼,1,2500,2025-07-25 08:08:09,2025,7,25,08:08,E
ICE 아메리카노,1,1500,2025-07-25 06:50:39,2025,7,25,06:50,E
ICE 아메리카노,1,1500,2025-07-25 06:34:51,2025,7,25,06:34,E
ICE 아메리카노,1,1500,2025-07-25 06:00:02,2025,7,25,06:00,E
ICE 아메리카노,1,1500,2025-07-25 05:33:54,2025,7,25,05:33,E
ICE 복숭아티,1,2000,2025-07-24 16:42:30,2025,7,24,16:42,E
ICE 아메리카노,1,1500,2025-07-24 16:07:09,2025,7,24,16:07,E
아이스티+샷추가,1,2500,2025-07-24 12:00:04,2025,7,24,12:00,E
아이스티+샷추가,1,2500,2025-07-24 09:07:16,2025,7,24,09:07,E
ICE 아메리카노,1,1500,2025-07-24 09:05:45,2025,7,24,09:05,E
ICE 아메리카노,1,1500,2025-07-24 07:16:23,2025,7,24,07:16,E
ICE 아메리카노,1,2000,2025-07-24 07:12:48,2025,7,24,07:12,E
아이스티+샷추가,1,2000,2025-07-24 07:12:48,2025,7,24,07:12,E
ICE 초코라떼,1,2700,2025-07-24 06:57:20,2025,7,24,06:57,E
ICE 카페라떼,1,2000,2025-07-24 06:21:50,2025,7,24,06:21,E
ICE 아메리카노,1,1500,2025-07-24 06:13:00,2025,7,24,06:13,E
ICE 아메리카노,1,1500,2025-07-24 06:06:18,2025,7,24,06:06,E
ICE 아메리카노,1,1500,2025-07-24 05:57:32,2025,7,24,05:57,E
ICE 아메리카노,1,1500,2025-07-24 05:56:03,2025,7,24,05:56,E
ICE 아메리카노,1,1500,2025-07-24 05:54:20,2025,7,24,05:54,E
ICE 아메리카노,1,1500,2025-07-24 05:47:43,2025,7,24,05:47,E
ICE 아메리카노,1,1500,2025-07-24 05:45:55,2025,7,24,05:45,E
ICE 아메리카노,1,1500,2025-07-24 05:44:10,2025,7,24,05:44,E
ICE 아메리카노,1,1500,2025-07-24 05:41:31,2025,7,24,05:41,E
ICE 청귤티,1,0,2025-07-23 17:08:25,2025,7,23,17:08,E
ICE 녹차라떼,1,2500,2025-07-23 16:43:28,2025,7,23,16:43,E
아이스티+샷추가,1,2500,2025-07-23 13:57:19,2025,7,23,13:57,E
ICE 아메리카노,1,1500,2025-07-23 13:43:56,2025,7,23,13:43,E
ICE 복숭아티,1,2000,2025-07-23 13:37:12,2025,7,23,13:37,E
ICE 아메리카노,1,1500,2025-07-23 11:46:29,2025,7,23,11:46,E
ICE 녹차라떼,1,2500,2025-07-23 11:38:55,2025,7,23,11:38,E
아이스티+샷추가,1,2500,2025-07-23 08:57:54,2025,7,23,08:57,E
아이스티+샷추가,1,2500,2025-07-23 08:52:30,2025,7,23,08:52,E
아이스티+샷추가,1,0,2025-07-23 08:50:51,2025,7,23,08:50,E
ICE 청포도주스,1,2000,2025-07-23 08:27:45,2025,7,23,08:27,E
ICE 초코라떼,1,2700,2025-07-23 07:24:45,2025,7,23,07:24,E
HOT 레몬티,1,2000,2025-07-23 06:36:21,2025,7,23,06:36,E
ICE 아메리카노,1,1500,2025-07-23 06:13:18,2025,7,23,06:13,E
ICE 아메리카노,1,1500,2025-07-23 06:11:41,2025,7,23,06:11,E
ICE 아메리카노,1,1500,2025-07-23 06:02:36,2025,7,23,06:02,E
아이스티+샷추가,1,2500,2025-07-23 06:01:10,2025,7,23,06:01,E
아이스티+샷추가,1,2500,2025-07-23 05:59:08,2025,7,23,05:59,E
ICE 아메리카노,1,1500,2025-07-23 05:56:10,2025,7,23,05:56,E
ICE 아메리카노,1,1500,2025-07-23 05:54:39,2025,7,23,05:54,E
ICE 아메리카노,1,1500,2025-07-23 05:53:03,2025,7,23,05:53,E
ICE 아메리카노,1,1500,2025-07-23 05:43:06,2025,7,23,05:43,E
ICE 아메리카노,1,1500,2025-07-23 05:34:12,2025,7,23,05:34,E
ICE 녹차라떼,1,2500,2025-07-22 19:09:26,2025,7,22,19:09,E
HOT 청귤티,1,2000,2025-07-22 17:45:46,2025,7,22,17:45,E
아이스티+샷추가,1,2500,2025-07-22 17:07:27,2025,7,22,17:07,E
ICE 복숭아티,1,2000,2025-07-22 16:21:32,2025,7,22,16:21,E
ICE 녹차라떼,1,2500,2025-07-22 13:54:10,2025,7,22,13:54,E
ICE 초코라떼,1,2700,2025-07-22 13:52:57,2025,7,22,13:52,E
아이스티+샷추가,1,2500,2025-07-22 13:51:05,2025,7,22,13:51,E
ICE 아메리카노,1,1500,2025-07-22 13:44:48,2025,7,22,13:44,E
ICE 복숭아티,1,0,2025-07-22 12:36:47,2025,7,22,12:36,E
ICE 복숭아티,1,2000,2025-07-22 11:57:51,2025,7,22,11:57,E
ICE 아메리카노,1,1500,2025-07-22 11:54:21,2025,7,22,11:54,E
ICE 아메리카노,1,1500,2025-07-22 11:52:39,2025,7,22,11:52,E
HOT 아메리카노,1,0,2025-07-22 11:50:49,2025,7,22,11:50,E
ICE 아메리카노,1,1500,2025-07-22 11:49:01,2025,7,22,11:49,E
ICE 초코라떼,1,2700,2025-07-22 11:47:48,2025,7,22,11:47,E
HOT 아메리카노,1,1500,2025-07-22 11:42:45,2025,7,22,11:42,E
ICE 복숭아티,1,2000,2025-07-22 11:23:02,2025,7,22,11:23,E
아이스티+샷추가,1,2500,2025-07-22 11:21:24,2025,7,22,11:21,E
ICE 아메리카노,1,1500,2025-07-22 09:54:05,2025,7,22,09:54,E
아이스티+샷추가,1,2500,2025-07-22 08:54:38,2025,7,22,08:54,E
ICE 토피넛,1,2500,2025-07-22 08:50:40,2025,7,22,08:50,E
아이스티+샷추가,1,2500,2025-07-22 08:37:10,2025,7,22,08:37,E
HOT 아메리카노,1,1500,2025-07-22 07:03:59,2025,7,22,07:03,E
ICE 아메리카노,1,1500,2025-07-22 06:54:47,2025,7,22,06:54,E
ICE 아메리카노,1,1500,2025-07-22 06:53:11,2025,7,22,06:53,E
ICE 초코라떼,1,2700,2025-07-22 06:51:53,2025,7,22,06:51,E
HOT 청귤티,1,0,2025-07-22 06:50:13,2025,7,22,06:50,E
아이스티+샷추가,1,2500,2025-07-22 06:44:51,2025,7,22,06:44,E
ICE 아메리카노,1,1500,2025-07-22 06:25:37,2025,7,22,06:25,E
ICE 아메리카노,1,1500,2025-07-22 06:18:34,2025,7,22,06:18,E
ICE 아메리카노,1,1500,2025-07-22 06:13:17,2025,7,22,06:13,E
ICE 아메리카노,1,1500,2025-07-22 06:11:43,2025,7,22,06:11,E
ICE 아메리카노,1,1500,2025-07-22 06:07:04,2025,7,22,06:07,E
아이스티+샷추가,1,2500,2025-07-22 06:05:37,2025,7,22,06:05,E
ICE 아메리카노,1,1500,2025-07-22 05:59:25,2025,7,22,05:59,E
ICE 아메리카노,1,1500,2025-07-22 05:57:49,2025,7,22,05:57,E
ICE 아메리카노,1,1500,2025-07-22 05:56:17,2025,7,22,05:56,E
아이스티+샷추가,1,2500,2025-07-22 05:54:12,2025,7,22,05:54,E
ICE 아메리카노,1,1500,2025-07-22 05:45:52,2025,7,22,05:45,E
ICE 아메리카노,1,1500,2025-07-22 05:42:29,2025,7,22,05:42,E
ICE 아메리카노,1,1500,2025-07-22 05:40:46,2025,7,22,05:40,E
ICE 녹차라떼,1,2500,2025-07-21 16:45:09,2025,7,21,16:45,E
ICE 복숭아티,1,2000,2025-07-21 16:27:50,2025,7,21,16:27,E
ICE 아메리카노,1,1500,2025-07-21 16:15:27,2025,7,21,16:15,E
ICE 녹차라떼,1,2500,2025-07-21 16:07:48,2025,7,21,16:07,E
HOT 토피넛,1,2500,2025-07-21 13:57:16,2025,7,21,13:57,E
ICE 아메리카노,1,1500,2025-07-21 13:54:56,2025,7,21,13:54,E
ICE 아메리카노,1,1500,2025-07-21 13:53:20,2025,7,21,13:53,E
ICE 아메리카노,1,1500,2025-07-21 12:15:50,2025,7,21,12:15,E
아이스티+샷추가,1,2500,2025-07-21 11:51:39,2025,7,21,11:51,E
ICE 아메리카노,1,1500,2025-07-21 11:48:53,2025,7,21,11:48,E
아이스티+샷추가,1,2500,2025-07-21 11:44:59,2025,7,21,11:44,E
아이스티+샷추가,1,2500,2025-07-21 06:47:16,2025,7,21,06:47,E
ICE 아메리카노,1,1500,2025-07-21 06:07:57,2025,7,21,06:07,E
ICE 아메리카노,1,1500,2025-07-21 06:03:18,2025,7,21,06:03,E
ICE 아메리카노,1,1500,2025-07-21 06:00:09,2025,7,21,06:00,E
ICE 아메리카노,1,1500,2025-07-21 05:43:37,2025,7,21,05:43,E
ICE 아메리카노,1,1500,2025-07-21 05:41:48,2025,7,21,05:41,E
ICE 아메리카노,1,1500,2025-07-20 16:31:45,2025,7,20,16:31,E
ICE 아메리카노,2,3000,2025-07-20 12:51:30,2025,7,20,12:51,E
아이스티+샷추가,1,2500,2025-07-20 11:58:45,2025,7,20,11:58,E
HOT 녹차라떼,1,2500,2025-07-20 11:55:42,2025,7,20,11:55,E
아이스티+샷추가,1,2500,2025-07-20 11:39:01,2025,7,20,11:39,E
ICE 아메리카노,1,1500,2025-07-20 11:37:19,2025,7,20,11:37,E
ICE 녹차라떼,1,2500,2025-07-20 11:33:37,2025,7,20,11:33,E
ICE 얼그레이레몬 하이볼,1,2000,2025-07-20 11:32:08,2025,7,20,11:32,E
ICE 아메리카노,1,0,2025-07-20 10:41:39,2025,7,20,10:41,E
아이스티+샷추가,1,2500,2025-07-20 08:53:22,2025,7,20,08:53,E
ICE 아메리카노,1,1500,2025-07-20 08:49:08,2025,7,20,08:49,E
ICE 카페라떼,1,2000,2025-07-20 08:47:37,2025,7,20,08:47,E
ICE 녹차라떼,1,2500,2025-07-20 08:43:47,2025,7,20,08:43,E
HOT 아메리카노,1,1500,2025-07-20 06:52:39,2025,7,20,06:52,E
ICE 아메리카노,1,0,2025-07-20 06:42:38,2025,7,20,06:42,E
ICE 아메리카노,1,1500,2025-07-20 06:29:46,2025,7,20,06:29,E
ICE 아메리카노,1,1500,2025-07-20 06:28:16,2025,7,20,06:28,E
ICE 아메리카노,1,1500,2025-07-20 06:26:48,2025,7,20,06:26,E
ICE 아메리카노,1,1500,2025-07-20 06:25:17,2025,7,20,06:25,E
ICE 아메리카노,1,1500,2025-07-20 06:02:04,2025,7,20,06:02,E
ICE 복숭아티,1,2000,2025-07-19 19:11:35,2025,7,19,19:11,E
ICE 아메리카노,1,1500,2025-07-19 17:44:13,2025,7,19,17:44,E
HOT 녹차라떼,1,2500,2025-07-19 17:10:48,2025,7,19,17:10,E
아이스티+샷추가,1,2500,2025-07-19 11:39:13,2025,7,19,11:39,E
HOT 청귤티,1,0,2025-07-19 11:31:46,2025,7,19,11:31,E
ICE 아메리카노,1,0,2025-07-19 09:52:41,2025,7,19,09:52,E
ICE 복숭아티,1,0,2025-07-19 08:52:45,2025,7,19,08:52,E
HOT 녹차라떼,1,2500,2025-07-19 07:38:33,2025,7,19,07:38,E
ICE 아메리카노,1,1500,2025-07-19 06:11:47,2025,7,19,06:11,E
ICE 아메리카노,1,1500,2025-07-19 06:00:58,2025,7,19,06:00,E
ICE 아메리카노,1,1500,2025-07-19 05:32:05,2025,7,19,05:32,E
아이스티+샷추가,1,2500,2025-07-18 19:11:27,2025,7,18,19:11,E
ICE 청귤티,1,0,2025-07-18 16:47:44,2025,7,18,16:47,E
ICE 복숭아티,1,2000,2025-07-18 14:05:26,2025,7,18,14:05,E
ICE 아메리카노,1,1500,2025-07-18 12:19:21,2025,7,18,12:19,E
HOT 녹차라떼,1,2500,2025-07-18 11:25:04,2025,7,18,11:25,E
ICE 청귤티,1,2000,2025-07-18 11:10:37,2025,7,18,11:10,E
ICE 아메리카노,1,1500,2025-07-18 11:05:01,2025,7,18,11:05,E
ICE 아메리카노,1,1500,2025-07-18 06:57:59,2025,7,18,06:57,E
아이스티+샷추가,1,2500,2025-07-18 06:56:33,2025,7,18,06:56,E
ICE 토피넛,1,2500,2025-07-18 06:47:49,2025,7,18,06:47,E
ICE 아메리카노,1,1500,2025-07-18 06:44:13,2025,7,18,06:44,E
ICE 아메리카노,1,1500,2025-07-18 06:14:18,2025,7,18,06:14,E
ICE 아메리카노,1,1500,2025-07-18 05:45:10,2025,7,18,05:45,E
ICE 아메리카노,1,1500,2025-07-18 05:43:32,2025,7,18,05:43,E
아이스티+샷추가,1,2500,2025-07-18 05:32:35,2025,7,18,05:32,E
ICE 아메리카노,1,1500,2025-07-18 05:31:05,2025,7,18,05:31,E
HOT 토피넛,1,2500,2025-07-17 19:16:49,2025,7,17,19:16,E
ICE 녹차라떼,1,2500,2025-07-17 19:11:01,2025,7,17,19:11,E
ICE 아메리카노,1,1750,2025-07-17 16:16:17,2025,7,17,16:16,E
HOT 레몬티,1,1750,2025-07-17 16:16:17,2025,7,17,16:16,E
HOT 녹차라떼,1,2500,2025-07-17 15:43:22,2025,7,17,15:43,E
아이스티+샷추가,1,2500,2025-07-17 13:57:14,2025,7,17,13:57,E
ICE 아메리카노,1,1500,2025-07-17 13:49:52,2025,7,17,13:49,E
ICE 초코라떼,1,2700,2025-07-17 13:27:16,2025,7,17,13:27,E
ICE 아메리카노,1,1500,2025-07-17 12:46:26,2025,7,17,12:46,E
HOT 아메리카노,2,3000,2025-07-17 12:12:00,2025,7,17,12:12,E
ICE 녹차라떼,1,2500,2025-07-17 11:31:45,2025,7,17,11:31,E
ICE 아메리카노,1,1500,2025-07-17 11:30:11,2025,7,17,11:30,E
ICE 복숭아티,1,0,2025-07-17 11:17:42,2025,7,17,11:17,E
HOT 아메리카노,1,1500,2025-07-17 09:12:45,2025,7,17,09:12,E
ICE 아메리카노,1,1500,2025-07-17 09:08:07,2025,7,17,09:08,E
ICE 아메리카노,1,1500,2025-07-17 08:31:15,2025,7,17,08:31,E
아이스티+샷추가,1,2500,2025-07-17 07:04:19,2025,7,17,07:04,E
ICE 아메리카노,1,1500,2025-07-17 06:52:15,2025,7,17,06:52,E
ICE 바닐라라떼,1,2700,2025-07-17 06:48:32,2025,7,17,06:48,E
ICE 녹차라떼,1,2500,2025-07-17 06:47:07,2025,7,17,06:47,E
아이스티+샷추가,1,2500,2025-07-17 06:45:29,2025,7,17,06:45,E
ICE 녹차라떼,1,2500,2025-07-16 17:07:04,2025,7,16,17:07,E
ICE 녹차라떼,1,2500,2025-07-16 17:02:49,2025,7,16,17:02,E
ICE 얼그레이레몬 하이볼,1,2000,2025-07-16 16:49:41,2025,7,16,16:49,E
ICE 아메리카노,1,1500,2025-07-16 13:54:31,2025,7,16,13:54,E
ICE 아메리카노,1,0,2025-07-16 10:46:00,2025,7,16,10:46,E
ICE 아메리카노,1,0,2025-07-16 08:36:48,2025,7,16,08:36,E
HOT 카페라떼,1,0,2025-07-15 10:08:19,2025,7,15,10:08,E
HOT 카페라떼,1,0,2025-07-15 10:06:40,2025,7,15,10:06,E
HOT 바닐라라떼,1,0,2025-07-15 10:05:11,2025,7,15,10:05,E
HOT 녹차라떼,1,0,2025-07-15 10:01:10,2025,7,15,10:01,E
HOT 바닐라라떼,1,0,2025-07-15 09:58:44,2025,7,15,09:58,E
HOT 카페라떼,1,0,2025-07-15 09:57:26,2025,7,15,09:57,E
HOT 카페라떼,1,0,2025-07-15 09:49:10,2025,7,15,09:49,E
HOT 바닐라라떼,1,0,2025-07-15 09:43:11,2025,7,15,09:43,E
HOT 카페라떼,1,0,2025-07-15 09:41:57,2025,7,15,09:41,E
HOT 녹차라떼,1,0,2025-07-15 09:40:42,2025,7,15,09:40,E
HOT 초코라떼,1,0,2025-07-15 09:39:42,2025,7,15,09:39,E
HOT 아메리카노,1,0,2025-07-15 09:38:10,2025,7,15,09:38,E
HOT 카페라떼,1,0,2025-07-15 09:36:10,2025,7,15,09:36,E
ICE 카페라떼,1,0,2025-07-15 09:34:42,2025,7,15,09:34,E
HOT 카페라떼,1,0,2025-07-15 09:20:46,2025,7,15,09:20,E
HOT 카페라떼,1,2000,2025-07-15 09:15:20,2025,7,15,09:15,E
ICE 녹차라떼,1,2500,2025-07-15 08:54:49,2025,7,15,08:54,E
ICE 패션후르츠,1,2000,2025-07-15 08:51:13,2025,7,15,08:51,E
ICE 녹차라떼,1,2500,2025-07-15 08:49:44,2025,7,15,08:49,E
ICE 카페라떼,1,2000,2025-07-15 08:47:55,2025,7,15,08:47,E
ICE 아메리카노,1,1500,2025-07-15 08:36:05,2025,7,15,08:36,E
아이스티+샷추가,1,2500,2025-07-15 07:44:49,2025,7,15,07:44,E
아이스티+샷추가,1,2500,2025-07-15 06:55:49,2025,7,15,06:55,E
